real_id,name
41700,S.T.A.L.K.E.R.: Call of Pripyat
41740,Cargo! The Quest for Gravity
41800,Gratuitous Space Battles
41900,The Bards Tale
42120,Lead and Gold: Gangs of the Wild West
42140,Hamiltons Great Adventure
42210,Nancy Drew(r):  Secrets Can Kill REMASTERED
42220,Nancy Drew: The Captive Curse
42230,Nancy Drew: Trail of the Twister
42500,DogFighter
42650,Transformers(tm): War for Cybertron(tm)
42670,Singularity(tm)
42680,Call of Duty(r): Modern Warfare(r) 3
42680,Call of Duty(r): Modern Warfare(r) 3
42700,Call of Duty(r): Black Ops
42700,Call of Duty(r): Black Ops
42810,For The Glory: A Europa Universalis Game
42850,Arsenal of Democracy: A Hearts of Iron Game
42910,Magicka
42920,The Kings Crusade
42930,Elven Legacy: Magic
42940,Elven Legacy: Siege
42950,Elven Legacy: Ranger
42960,Victoria II
42980,Victoria I Complete
42990,Sword of the Stars II: Enhanced Edition
43000,Front Mission Evolved
43110,Metro 2033
43190,The Haunted: Hells Reach
43600,Nancy Drew(r): Warnings at Waverly Academy
44100,Super Laser  Racer
44310,F1 2010(tm)
44340,Operation Flashpoint: Red River
44350,GRID 2
44360,F1 2011
44690,GT Legends
45100,Secret of the Magic Crystals
45300,Wings of Prey
45400,Fortix
45410,Ignite
45500,Clickr
45700,Devil May Cry 4
45710,Dark Void(tm)
45720,Lost Planet: Extreme Condition Colonies Edition
45730,Dark Void(tm) Zero
45740,Dead Rising(r) 2
45750,Lost Planet(r) 2
45760,Ultra Street Fighter(r) IV
45770,Dead Rising 2: Off the Record
46000,Bob Came in Pieces
46250,NecroVisioN: Lost Company
46260,Star Wolves 3: Civil War
